threshold,FAR,TAR
-0.2200007,0.944944944944945,0.9986653319986654
-0.2100007,0.9386052719386053,0.9986653319986654
-0.20000069,0.9282615949282615,0.9983316649983317
-0.19000068,0.9209209209209209,0.997997997997998
-0.18000068,0.9132465799132465,0.997997997997998
-0.17000067,0.9045712379045713,0.997997997997998
-0.16000067,0.8948948948948949,0.9973306639973306
-0.15000066,0.8825492158825492,0.996996996996997
-0.14000066,0.8665331998665332,0.9966633299966633
-0.13000065,0.8515181848515182,0.9966633299966633
-0.12000065,0.8324991658324992,0.9963296629963296
-0.110000655,0.8148148148148148,0.995995995995996
-0.10000066,0.7961294627961295,0.995995995995996
-0.09000066,0.7731064397731064,0.995995995995996
-0.08000066,0.7477477477477478,0.995995995995996
-0.07000066,0.7247247247247247,0.9956623289956623
-0.060000665,0.6983650316983651,0.994994994994995
-0.050000668,0.6756756756756757,0.993993993993994
-0.04000067,0.6476476476476476,0.992992992992993
-0.03000067,0.6229562896229562,0.9926593259926594
-0.02000067,0.595261928595262,0.9916583249916583
-0.01000067,0.5665665665665666,0.990990990990991
-6.7055225e-07,0.5385385385385385,0.9903236569903237
0.009999329,0.5111778445111779,0.98998998998999
0.019999329,0.48281614948281615,0.9896563229896563
0.029999329,0.4587921254587921,0.9896563229896563
0.03999933,0.4351017684351018,0.9896563229896563
0.049999326,0.4144144144144144,0.9883216549883217
0.059999324,0.38872205538872207,0.9873206539873206
0.06999932,0.36870203536870205,0.9863196529863196
0.07999932,0.341675008341675,0.985985985985986
0.08999932,0.3239906573239907,0.9843176509843177
0.099999316,0.30363697030363695,0.9836503169836504
0.109999314,0.2839506172839506,0.9826493159826493
0.11999931,0.26359693026359693,0.9819819819819819
0.12999931,0.2455789122455789,0.9813146479813146
0.13999932,0.22622622622622623,0.9803136469803136
0.14999932,0.20520520520520522,0.9796463129796463
0.15999933,0.19152485819152487,0.9796463129796463
0.16999933,0.1788455121788455,0.978978978978979
0.17999934,0.16549883216549882,0.9783116449783117
0.18999934,0.15215215215215216,0.9766433099766433
0.19999935,0.13413413413413414,0.974974974974975
0.20999935,0.12145478812145478,0.9746413079746413
0.21999936,0.10977644310977644,0.9723056389723056
0.22999936,0.0980980980980981,0.9713046379713046
0.23999937,0.08708708708708708,0.970970970970971
0.24999937,0.08074741408074741,0.9706373039706373
0.25999936,0.07440774107440774,0.96996996996997
0.26999936,0.06706706706706707,0.9696363029696363
0.27999935,0.058725392058725394,0.9686353019686353
0.28999934,0.05238571905238572,0.9686353019686353
0.29999933,0.044711378044711377,0.9676343009676343
0.30999932,0.03903903903903904,0.9676343009676343
0.3199993,0.0313646980313647,0.9662996329662996
0.3299993,0.026359693026359692,0.965965965965966
0.3399993,0.024024024024024024,0.964964964964965
0.34999928,0.02002002002002002,0.9642976309642977
0.35999927,0.017350684017350685,0.9642976309642977
0.36999926,0.013013013013013013,0.9642976309642977
0.37999925,0.009342676009342675,0.963963963963964
0.38999924,0.007340674007340674,0.962962962962963
0.39999923,0.006339673006339673,0.960960960960961
0.40999922,0.005338672005338672,0.9592926259592927
0.4199992,0.003670337003670337,0.9582916249582917
0.4299992,0.002335669002335669,0.9569569569569569
0.4399992,0.002002002002002002,0.9536202869536203
0.44999918,0.002002002002002002,0.9512846179512846
0.45999917,0.002002002002002002,0.948948948948949
0.46999916,0.001668335001668335,0.943943943943944
0.47999915,0.001668335001668335,0.9386052719386053
0.48999915,0.001668335001668335,0.9352686019352686
0.49999914,0.001334668001334668,0.9325992659325992
0.50999916,0.001334668001334668,0.9275942609275942
0.51999915,0.001334668001334668,0.9232565899232565
0.52999914,0.001334668001334668,0.9162495829162496
0.5399991,0.001001001001001001,0.9095762429095763
0.5499991,0.001001001001001001,0.9035702369035702
0.5599991,0.001001001001001001,0.8982315648982315
0.5699991,0.000667334000667334,0.8918918918918919
0.5799991,0.000667334000667334,0.8788788788788788
0.5899991,0.000667334000667334,0.8705372038705372
0.59999907,0.000333667000333667,0.8591925258591926
0.60999906,0.000333667000333667,0.8488488488488488
0.61999905,0.000333667000333667,0.8361695028361695
0.62999904,0.000333667000333667,0.8248248248248249
0.63999903,0.000333667000333667,0.8064731398064732
0.649999,0.000333667000333667,0.7834501167834501
0.659999,0.000333667000333667,0.7691024357691024
0.669999,0.000333667000333667,0.7497497497497497
0.679999,0.000333667000333667,0.7270603937270603
0.689999,0.000333667000333667,0.6976976976976976
0.699999,0.000333667000333667,0.6750083416750083
0.70999897,0.0,0.652318985652319
0.71999896,0.0,0.6269602936269603
0.72999895,0.0,0.6006006006006006
0.73999894,0.0,0.5682349015682349
0.7499989,0.0,0.5382048715382048
0.7599989,0.0,0.5098431765098432
0.7699989,0.0,0.47681014347681017
0.7799989,0.0,0.44077410744077405
0.7899989,0.0,0.4070737404070738
0.7999989,0.0,0.3777110443777111
0.80999887,0.0,0.339673006339673
0.81999886,0.0,0.30163496830163494
0.82999885,0.0,0.2652652652652653
0.83999884,0.0,0.23223223223223222
0.84999883,0.0,0.19686353019686353
0.8599988,0.0,0.17183850517183852
0.8699988,0.0,0.1401401401401401
0.8799988,0.0,0.1124457791124458
0.8899988,0.0,0.08108108108108103
0.8999988,0.0,0.06339673006339674
0.9099988,0.0,0.04270937604270941
0.91999876,0.0,0.027360694027360744
0.92999876,0.0,0.017350684017350737
0.93999875,0.0,0.010010010010010006
0.94999874,0.0,0.006339673006339641
0.9599987,0.0,0.0036703370036703653
0.9699987,0.0,0.0016683350016682974
0.9799987,0.0,0.0003336670003336595
0.9899987,0.0,0.0
0.9999987,0.0,0.0
