t_rel_s,label,rms_m
50.547,screen,0.000770
50.588,screen,0.000693
50.628,screen,0.000706
50.670,screen,0.000668
50.710,screen,0.000663
50.749,screen,0.000627
50.789,screen,0.000623
50.829,screen,0.000601
50.869,screen,0.000601
50.910,screen,0.000670
50.950,screen,0.000668
50.992,screen,0.000620
51.031,screen,0.000673
51.070,screen,0.000639
51.110,screen,0.000611
51.153,screen,0.000609
51.191,screen,0.000597
51.230,screen,0.000628
51.272,screen,0.000626
51.310,screen,0.000624
51.356,screen,0.000578
51.391,screen,0.000564
51.429,screen,0.000548
51.473,screen,0.000549
51.510,screen,0.000555
51.555,screen,0.000587
51.592,screen,0.000610
51.632,screen,0.000587
51.674,screen,0.000549
51.711,screen,0.000576
51.756,screen,0.000598
51.793,screen,0.000612
51.834,screen,0.000606
51.876,screen,0.000590
51.913,screen,0.000624
51.957,screen,0.000668
51.992,screen,0.000718
52.039,screen,0.000646
52.073,screen,0.000643
52.112,screen,0.000632
52.156,screen,0.000660
52.192,screen,0.000655
52.239,screen,0.000641
52.274,screen,0.000652
52.320,screen,0.000638
52.356,screen,0.000636
52.397,screen,0.000631
52.439,screen,0.000611
52.476,screen,0.000646
52.515,screen,0.000643
52.558,screen,0.000706
52.597,screen,0.000693
52.639,screen,0.000695
52.676,screen,0.000719
52.719,screen,0.000721
52.758,screen,0.000688
52.797,screen,0.000637
52.838,screen,0.000626
52.876,screen,0.000632
52.917,screen,0.000613
52.959,screen,0.000611
52.996,screen,0.000621
53.040,screen,0.000624
53.076,screen,0.000661
53.119,screen,0.000653
53.160,screen,0.000604
53.200,screen,0.000628
53.239,screen,0.000596
53.279,screen,0.000555
53.323,screen,0.000542
53.358,screen,0.000535
53.396,screen,0.000576
53.440,screen,0.000624
53.475,screen,0.000593
53.519,screen,0.000618
53.559,screen,0.000673
53.596,screen,0.000845
53.641,screen,0.000869
53.675,screen,0.000821
53.722,screen,0.000848
53.761,screen,0.000787
53.804,screen,0.000804
53.840,screen,0.000869
53.881,screen,0.000906
53.922,screen,0.000925
53.963,screen,0.000934
54.001,screen,0.001015
54.041,screen,0.001144
54.083,screen,0.001223
54.126,screen,0.001285
54.161,screen,0.001294
54.202,screen,0.001409
54.243,screen,0.001380
54.284,screen,0.001357
54.321,screen,0.001371
54.362,screen,0.001359
54.403,screen,0.001301
54.444,screen,0.001284
54.482,screen,0.001221
54.524,screen,0.001172
54.564,screen,0.001154
54.604,screen,0.001119
54.644,screen,0.001055
54.684,screen,0.001027
54.724,screen,0.000982
54.768,screen,0.000941
54.802,screen,0.000953
54.844,screen,0.000951
54.881,screen,0.001008
54.922,screen,0.000962
54.960,screen,0.000803
55.007,screen,0.000725
55.046,screen,0.000655
55.086,screen,0.000620
55.122,screen,0.000609
55.161,screen,0.000606
55.205,screen,0.000874
55.245,screen,0.000968
55.284,screen,0.000867
55.328,screen,0.001068
55.365,screen,0.001249
55.407,screen,0.001340
55.448,screen,0.001385
55.489,screen,0.001467
55.526,screen,0.001558
55.565,screen,0.001767
55.606,screen,0.001799
55.648,screen,0.001746
55.688,screen,0.001797
55.727,screen,0.001692
55.768,screen,0.001676
55.809,screen,0.001664
55.847,screen,0.001561
55.889,screen,0.001356
55.930,screen,0.001196
55.968,screen,0.001104
56.010,screen,0.000985
56.050,screen,0.000868
56.088,screen,0.000793
56.132,screen,0.000739
56.171,screen,0.000708
56.211,screen,0.000706
56.251,screen,0.000686
56.290,screen,0.000656
56.331,screen,0.000598
56.372,screen,0.000601
56.411,screen,0.000605
56.454,screen,0.000643
56.490,screen,0.000730
56.529,screen,0.000604
56.574,screen,0.000592
56.611,screen,0.000580
56.656,screen,0.000638
56.693,screen,0.000691
56.728,screen,0.000667
56.776,screen,0.000664
56.813,screen,0.000713
56.852,screen,0.000737
56.893,screen,0.000701
56.931,screen,0.000729
56.974,screen,0.000579
57.012,screen,0.000554
57.055,screen,0.000595
57.092,screen,0.000617
57.132,screen,0.000578
57.175,screen,0.000600
57.212,screen,0.000683
57.256,screen,0.000763
57.294,screen,0.000597
57.332,screen,0.000600
57.376,screen,0.000580
57.412,screen,0.000583
57.458,screen,0.000579
57.492,screen,0.000582
57.535,screen,0.000625
57.576,screen,0.000585
57.612,screen,0.000610
57.659,screen,0.000613
57.692,screen,0.000575
57.732,screen,0.000613
57.775,screen,0.000612
57.810,screen,0.000771
57.857,screen,0.000774
57.892,screen,0.000712
57.939,screen,0.000800
